School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
University of North Carolina at Greensboro,Greensboro,North Carolina,Southern Conference,D1,0.8754,1093.0,19179.0,-79.809414,36.068236
Virginia Military Institute,Lexington,Virginia,Southern Conference,D1,0.5988,1180.0,32420.0,-79.437067,37.7896
Wofford College,Spartanburg,South Carolina,Southern Conference,D1,0.53,,62262.0,-81.933568,34.959411
University of Denver,Denver,Colorado,The Summit League,D1,0.6067,1296.0,69469.0,-104.963259,39.678005
Eastern Illinois University,Charleston,Illinois,The Summit League,D1,0.5554,1058.0,24125.0,-88.175658,39.479843
University of Missouri–Kansas City,Kansas City,Missouri,The Summit League,D1,0.6301,1184.0,22897.0,-94.582141,39.034179
Lindenwood University,St. Charles,Missouri,The Summit League,D1,0.9213,1111.0,30609.0,-90.501286,38.785425
University of Nebraska Omaha,Omaha,Nebraska,The Summit League,D1,,,,,
Oral Roberts University,Tulsa,Oklahoma,The Summit League,D1,0.7839,1133.0,44006.0,-95.952547,36.049129
University of St. Thomas,Saint Paul,Minnesota,The Summit League,D1,0.874,1249.0,57785.0,-93.188986,44.943439
University of St. Thomas,Saint Paul,Minnesota,The Summit League,D1,0.9609,,42652.0,-95.393102,29.736438
University of Southern Indiana,Evansville,Indiana,The Summit League,D1,0.9387,1089.0,20146.0,-87.677214,37.962374
Western Illinois University,Macomb,Illinois,The Summit League,D1,0.6696,1011.0,26287.0,-90.686899,40.468086
Coastal Carolina University,Conway,South Carolina,Sun Belt Conference,D1,0.7045,1108.0,24313.0,-79.011767,33.794995
Georgia Southern University,Statesboro,Georgia,Sun Belt Conference,D1,0.9117,1083.0,22608.0,-81.784045,32.426153
Georgia State University,Atlanta,Georgia,Sun Belt Conference,D1,0.8094,1147.0,27206.0,-84.38667,33.7527
James Madison University,Harrisonburg,Virginia,Sun Belt Conference,D1,0.8049,1207.0,27996.0,-78.870484,38.436311
University of Kentucky,Lexington,Kentucky,Sun Belt Conference,D1,0.9636,1223.0,30178.0,-84.504747,38.038911
Marshall University,Huntington,West Virginia,Sun Belt Conference,D1,0.8925,1080.0,19586.0,-82.428964,38.422482
Old Dominion University,Norfolk,Virginia,Sun Belt Conference,D1,0.9541,1071.0,25722.0,-76.30666,36.886418
University of South Carolina,Columbia,South Carolina,Sun Belt Conference,D1,,,,,
West Virginia University,Morgantown,West Virginia,Sun Belt Conference,D1,0.822,1145.0,22680.0,-79.954391,39.634371
Gonzaga University,Spokane,Washington,West Coast Conference,D1,0.7289,1272.0,61761.0,-117.400625,47.666531
Loyola Marymount University,Los Angeles,California,West Coast Conference,D1,0.5014,1320.0,70235.0,-118.415744,33.97085
University of the Pacific,Stockton,California,West Coast Conference,D1,0.7075,1221.0,64784.0,-121.312301,37.981424
University of Portland,Portland,Oregon,West Coast Conference,D1,0.7722,1233.0,64049.0,-122.726691,45.572724
Saint Mary's College of California,Moraga,California,West Coast Conference,D1,0.7731,1174.0,69071.0,-122.109031,37.840731
University of San Diego,San Diego,California,West Coast Conference,D1,0.587,,70440.0,-117.192073,32.770816
University of San Francisco,San Francisco,California,West Coast Conference,D1,0.703,1248.0,69987.0,-122.450477,37.776618
Santa Clara University,Santa Clara,California,West Coast Conference,D1,0.5072,1367.0,74297.0,-121.93784,37.348362
United States Air Force Academy,Colorado Springs,Colorado,Western Athletic Conference,D1,0.1343,1371.0,,-104.891358,39.010957
California Baptist University,Riverside,California,Western Athletic Conference,D1,0.8018,1064.0,48731.0,-117.425619,33.929321
Grand Canyon University,Phoenix,Arizona,Western Athletic Conference,D1,0.8069,,31376.0,-112.129929,33.513231
Houston Christian University,Houston,Texas,Western Athletic Conference,D1,,,,,
San Jose State University,San Jose,California,Western Athletic Conference,D1,0.6737,1127.0,25747.0,-121.880621,37.336569
Seattle University,Seattle,Washington,Western Athletic Conference,D1,0.8323,1249.0,63439.0,-122.318851,47.608859
"University of Nevada, Las Vegas",Paradise,Nevada,Western Athletic Conference,D1,0.8102,1124.0,18756.0,-115.138462,36.106047
Utah Tech University,St. George,Utah,Western Athletic Conference,D1,,,,,
Utah Valley University,Orem,Utah,Western Athletic Conference,D1,,,13597.0,-111.716456,40.281078
University of Texas Rio Grande Valley,Edinburg,Texas,Western Athletic Conference,D1,,,,,
Academy of Art University,San Francisco,California,Pacific West Conference,D2,,,43976.0,-122.400578,37.787943
Adams State University,Alamosa,Colorado,Rocky Mountain Athletic Conference,D2,0.9988,1004.0,22317.0,-105.879642,37.473636
Adelphi University,Garden City,New York,Northeast-10 Conference,D2,0.7461,1162.0,53535.0,-73.653321,40.721439
University of Alabama in Huntsville,Huntsville,Alabama,Gulf South Conference,D2,0.7711,1300.0,24861.0,-86.640449,34.724557
Alderson Broaddus University,Philippi,West Virginia,Mountain East Conference,D2,0.5276,972.0,42676.0,-80.047728,39.158067
Alliance University,Manhattan,New York,Central Atlantic Collegiate Conference,D2,,,,,
American International College,Springfield,Massachusetts,Northeast-10 Conference,D2,0.6938,1015.0,51505.0,-72.558338,42.112346
