School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
City Colleges of Chicago-Richard J Daley College,164900.0,,,8423.0,-87.723981,41.755955,,
City Colleges of Chicago-Harold Washington College,165200.0,,,8454.0,-87.626596,41.886067,,
Coyne College,754900.0,,,,-87.627413,41.882558,,
Tricoci University of Beauty Culture,2317300.0,,,,-87.636314,40.075809,,
Cosmetology & Spa Academy,2150600.0,,,,-88.294087,42.24918,,
Elmhurst University,167600.0,0.6553,1096.0,48429.0,-87.945369,41.897164,,
First Institute of Travel Inc.,2584900.0,,,,-88.339468,42.21926,,
Graham Hospital School of Nursing,893800.0,0.8889,1435.0,18732.0,-90.038776,40.552962,,
G Skin & Beauty Institute,2261200.0,,,,-88.083218,42.061983,,
Hair Professionals Career College,2332200.0,,,,-88.718145,41.962221,,
Hair Professionals School of Cosmetology,2262100.0,,,,-88.364727,41.682591,,
Hebrew Theological College,168500.0,0.8333,,28145.0,-87.760874,42.010103,,
Educators of Beauty College of Cosmetology-Peru,947500.0,,,,-89.118454,41.354338,,
Lakeview College of Nursing,1050100.0,,,,-87.644379,40.13855,,
Lincoln College of Technology-Melrose Park,730307.0,,,,-87.832162,41.905577,,
Trinity College of Nursing & Health Sciences,622500.0,,,,-90.568862,41.484924,,
Steven Papageorge Hair Academy,2228100.0,,,,-87.657152,41.939685,,
MacCormac College,171600.0,,,22360.0,-87.626657,41.881898,,
Monmouth College,172500.0,0.6943,1163.0,51176.0,-90.63731,40.914824,,
Morrison Institute of Technology,888000.0,,,26614.0,-89.965963,41.7971,,
Cosmetology Concepts Niles,2556600.0,,,,-87.815113,42.027601,,
Oehrlein School of Cosmetology,2297500.0,,,,-89.55712,40.665832,,
Professional's Choice Hair Design Academy,2323300.0,,,,-88.148846,41.523122,,
Rockford University,174800.0,0.5082,1009.0,43866.0,-89.019536,42.270639,,
Saint Francis Medical Center College of Nursing,624000.0,,,,-89.590322,40.701241,,
St. John's College-Department of Nursing,3098000.0,,,,-89.64532,39.807602,,
National Latino Education Institute,3128500.0,,,,-87.675917,41.822756,,
Spertus College,166300.0,,,,-87.624785,41.873881,,
Educators of Beauty College of Cosmetology-Sterling,825900.0,,,,-89.692522,41.788581,,
Taylor Business Institute,1181000.0,0.8933,,23207.0,-87.62671,41.885452,,
Telshe Yeshiva-Chicago,2073200.0,1.0,,18500.0,-87.71755,41.975536,,
Tri-County Beauty Academy,1069500.0,,,,-89.655742,39.176137,,
University of Spa & Cosmetology Arts,2124400.0,,,,-89.710839,39.76672,,
Oak Point University,2214100.0,,,,-87.685291,41.90748,,
William Rainey Harper College,396100.0,,,12871.0,-88.072811,42.081829,,
Ancilla College,178400.0,,,27661.0,-86.445263,41.337958,,
Calumet College of Saint Joseph,183400.0,,,26540.0,-87.494123,41.671008,,
College of Court Reporting Inc,2615800.0,,,38363.0,-87.066331,41.467574,,
Tricoci University of Beauty Culture-Highland,1150500.0,,,,-87.467018,41.555885,,
Don Roberts School of Hair Design,2164300.0,,,,-87.447089,41.485532,,
J Michael Harrold Beauty Academy,951500.0,,,,-87.383391,39.470359,,
PJ's College of Cosmetology-Clarksville,2241700.0,,,,-85.768914,38.3121,,
Indiana University-East,181100.0,0.6732,1043.0,16144.0,-84.881923,39.868707,,
International Business College-Indianapolis,457900.0,0.7306,,23045.0,-86.041648,39.885628,,
Taylor Institute of Cosmetology II,2351300.0,,,,-86.618158,41.287712,,
Tricoci University of Beauty Culture-Lafayette,4130901.0,,,,-86.887007,40.419818,,
Empire Beauty School-Indianapolis,757311.0,,,,-86.100614,39.666467,,
Lincoln College of Technology-Indianapolis,793800.0,,,,-86.246276,39.884503,,
Mid-America College of Funeral Service,1061800.0,,,22581.0,-85.744696,38.31209,,
West Michigan College of Barbering and Beauty,2491000.0,,,,-85.590244,42.259329,,
PJ's College of Cosmetology-Richmond,2304800.0,,,,-84.842601,39.83227,,
Ravenscroft Beauty College,2084800.0,,,,-85.046078,41.121802,,
Rogers Academy of Hair Design,2339600.0,,,,-87.572366,37.970675,,
Saint Elizabeth School of Nursing,625700.0,1.0,921.0,35199.0,-86.88083,40.427401,,
Vincennes Beauty College,1015100.0,,,,-87.53241,38.679739,,
Capri College-Dubuque,758800.0,,,,-90.665565,42.497357,,
Capri College-Cedar Rapids,2090300.0,,,,-91.710201,41.960734,,
Eastern Iowa Community College District,407500.0,,,14220.0,-90.574459,41.522179,,
American Hair Academy,2289000.0,,,,-91.524949,40.962643,,
UnityPoint Health-Des Moines School of Radiologic Technology,626700.0,,,,-93.635129,41.590094,,
Iowa School of Beauty-Des Moines,826000.0,,,,-93.711628,41.624684,,
La James International College-Cedar Falls,1300600.0,,,,-92.434496,42.515026,,
La James International College-Johnston,2274100.0,,,,-93.738577,41.661015,,
La James College of Hairstyling and Cosmetology,765900.0,,,,-93.199881,43.153786,,
La James International College-Ft Dodge,842400.0,,,,-94.163856,42.5005,,
Loras College,187300.0,0.5838,,46290.0,-90.679023,42.503908,,
Iowa School of Beauty-Ottumwa,2306900.0,,,,-92.417948,41.02334,,
Palmer College of Chiropractic,1230000.0,,,,-90.574607,41.529021,,
PCI Academy-Ames,2160900.0,,,,-93.613611,41.99767,,
La James International College-Davenport,2134500.0,,,,-90.5682,41.572861,,
Capri College-Davenport,771700.0,,,,-90.538828,41.575211,,
Iowa School of Beauty-Sioux City,3441300.0,,,,-96.365842,42.441812,,
E Q School of Hair Design,761100.0,,,,-95.858073,41.235617,,
Waldorf University,189500.0,0.6106,1018.0,34318.0,-93.641714,43.262923,,
Wartburg Theological Seminary,189700.0,,,,-90.691225,42.485761,,
The Salon Professional Academy-Cedar Falls,794100.0,,,,-92.433262,42.511022,,
Bethel College-North Newton,190500.0,0.6132,1031.0,43795.0,-97.343256,38.075169,,
Donnelly College,191400.0,,,20338.0,-94.650677,39.112256,,
Flint Hills Technical College,526400.0,,,18948.0,-96.224141,38.41888,,
Hays Academy of Hair Design,2257700.0,,,,-99.310623,38.884873,,
Concorde Career College-Kansas City,2361600.0,0.965,,,-94.589819,39.06799,,
Old Town Barber College-Wichita,2134800.0,,,,-97.323179,37.68586,,
Washburn Institute of Technology,194901.0,0.4081,,15070.0,-95.751158,39.04497,,
Manhattan Area Technical College,550000.0,,,16901.0,-96.615672,39.197774,,
Northwest Kansas Technical College,526700.0,,,,-101.70022,39.346424,,
Ottawa University-Kansas City,193702.0,0.5389,1017.0,,-94.635461,38.932055,,
Salina Area Technical College,549900.0,,,13928.0,-97.636892,38.793582,,
Wichita Technical Institute,1050300.0,,,,-97.371819,37.656976,,
Alice Lloyd College,195100.0,0.2115,994.0,25490.0,-82.875068,37.335087,,
Barrett and Company School of Hair Design,2518900.0,,,,-84.580326,37.866361,,
